Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21942928,Let's Go Crazy: Prince and the Making of Purple Rain,Alan Light,"Light, Alan",,"=""1476776776""","=""9781476776774""",3,3.84,Atria Books,Kindle Edition,304,2014,2014,2021/03/27,2021/03/27,audiobooks-listened,audiobooks-listened (#101),audiobooks-listened,,,,1,0
36373396,The Myth of Perpetual Summer,Susan Crandall,"Crandall, Susan",,"=""1501172018""","=""9781501172014""",2,3.95,Gallery Books,Paperback,355,2018,2018,2021/03/21,2021/03/23,audiobooks-listened,audiobooks-listened (#100),audiobooks-listened,,,,1,0
46207678,The Regrets,Amy Bonnaffons,"Bonnaffons, Amy",,"=""0316516163""","=""9780316516167""",4,3.19,"Little, Brown and Company",Hardcover,296,2020,2020,2021/03/13,2021/02/14,,,read,,,,1,0
27405160,"Good Morning, Midnight",Lily Brooks-Dalton,"Brooks-Dalton, Lily",,"=""0812998901""","=""9780812998900""",4,3.90,Random House,ebook,218,2016,2016,2020/07/04,2020/05/03,,,read,,,,1,0
5899779,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,"Grahame-Smith, Seth",Jane Austen,"=""1594743347""","=""9781594743344""",0,3.32,Quirk Classics,Paperback,320,2009,2009,,2021/03/11,audiobooks-listened,audiobooks-listened (#99),audiobooks-listened,,,,0,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,4.13,William Morrow Paperbacks,Paperback,176,2006,2002,,2021/03/11,audiobooks-listened,audiobooks-listened (#98),audiobooks-listened,,,,0,0
36342968,News of the World,Paulette Jiles,"Jiles, Paulette",,"=""""","=""""",2,4.08,William Morrow,ebook,212,2016,2016,2021/02/15,2020/12/27,,,read,,,,1,0
51540889,I Hold a Wolf by the Ears: Stories,Laura van den Berg,"Berg, Laura van den",,"=""0374102090""","=""9780374102098""",0,3.81,"Farrar, Straus and Giroux",Hardcover,224,2020,2020,,2021/02/14,to-read,to-read (#45),to-read,,,,0,0
46221896,Run Me to Earth,Paul Yoon,"Yoon, Paul",,"=""1501154044""","=""9781501154041""",0,3.68,S&S/ Marysue Rucci Books,Hardcover,272,2020,2020,,2021/02/14,to-read,to-read (#44),to-read,,,,0,0
45734773,The Lost Book of Adana Moreau,Michael  Zapata,"Zapata, Michael",,"=""1335010122""","=""9781335010124""",0,3.59,Hanover Square Press,Hardcover,272,2020,2020,,2021/02/14,to-read,to-read (#43),to-read,,,,0,0
